NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,BuildingAge,Energy_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean
6,56700,55.0,116,54.07327160493827,6.970096914354078e-06,6577200,2628999.7780914395
4,72000,89.0,91,37.905107638888886,8.603355363553597e-06,6552000,2628999.7780914395
4,96254,93.0,16,53.00044154009184,6.9704927242541885e-06,1540064,2628999.7780914395
5,98668,91.0,34,44.50630396886528,6.9705247682488384e-06,3354712,2628999.7780914395
1,50660,51.0,38,52.536281089617056,2.2806790787709734e-05,1925080,2274415.943082143
2,61929,59.0,79,35.57342279061506,2.529701753474141e-05,4892391,2628999.7780914395
3,20565,65.0,91,39.01349380014588,6.967359975072057e-06,1871415,2628999.7780914395
5,103966,63.0,16,75.58213742954428,6.971263897907507e-06,1663456,2628999.7780914395
5,129362,95.0,30,42.62695768463691,2.117037884260556e-05,3880860,2628999.7780914395
6,112560,86.0,106,43.94810323383084,1.9774405607990704e-05,11931360,2628999.7780914395
6,86204,89.0,106,37.60750081202728,2.1289872627831003e-05,9137624,3241917.0
1,110613,95.0,56,9.176680751810366,6.97495585355378e-06,6194328,1418871.6024444446
3,98220,12.0,65,65.85308491142334,1.16402214564114e-05,6384300,1334609.24919344
1,84420,55.0,46,33.73983949301113,6.972537908128035e-06,3883320,1418871.6024444446
1,111908,87.0,29,13.89909791971977,2.1949052032722348e-05,3245332,1418871.6024444446
4,71037,5.0,15,67.81060574067035,6.971054140469854e-06,1065555,2628999.7780914395
2,51374,33.0,16,106.6988943823724,6.970657381699954e-06,821984,2628999.7780914395
5,110524,57.0,18,62.060710795845246,6.971660535240417e-06,1989432,2628999.7780914395
5,84210,85.0,42,56.41609072556704,1.3688223812457652e-05,3536820,2628999.7780914395
4,78920,80.0,87,105.21625063355296,1.322909584579294e-05,6866040,2274415.943082143
7,43983,93.0,37,117.71071777732305,2.1084469123257127e-05,1627371,2628999.7780914395
3,83118,59.0,76,29.39365119468707,1.1386978609302818e-05,6316968,2274415.943082143
3,77555,39.0,92,100.60222422796726,6.972387487102204e-06,7135060,2274415.943082143
6,51218,57.0,107,56.3501405755789,6.97124517283716e-06,5480326,2628999.7780914395
7,122356,91.0,106,37.47319706430416,9.116544663817055e-06,12969736,2628999.7780914395
3,52298,89.0,95,37.643028892118245,6.969224739147747e-06,4968310,2628999.7780914395
6,81300,83.0,106,49.848954489544894,7.755285339228963e-06,8617800,2628999.7780914395
6,62370,30.0,109,69.79357062690396,6.972163036049644e-06,6798330,2628999.7780914395
1,73296,83.0,56,32.148776877319364,3.1225906468479624e-05,4104576,1334609.24919344
1,115620,11.0,50,16.881648936170212,6.972849563076174e-06,5781000,1334609.24919344
1,71718,100.0,47,2.115986180596224,6.9849751977599535e-06,3370746,1418871.6024444446
1,55450,31.0,47,78.37146979260595,3.029202673540591e-05,2606150,1334609.24919344
1,54880,32.0,37,50.35708819241982,3.2396185116715643e-05,2030560,1418871.6024444446
6,79920,83.0,116,67.47519394394395,1.3805911507723291e-05,9270720,2628999.7780914395
6,68100,63.0,7,71.44715859030838,1.631675258190156e-05,476700,2628999.7780914395
2,123000,47.0,50,24.424967479674798,6.97007693380524e-06,6150000,1334609.24919344
